2016-10-13 11:37:25.169 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/13/2016 11:37:25 AM, 3 of 3 TestSteps enabled.
2016-10-13 11:37:25.177 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:37:25.181 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:37:25.182 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:37:25.182 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:37:25.185 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:37:25.216 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-13 11:37:25.216 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-13 11:37:25.216 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-13 11:37:25.231 ; TestPlan      ; Information ; "Delay" started.
2016-10-13 11:37:26.128 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-13 11:37:26.128 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-13 11:37:26.128 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-13 11:37:26.128 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-13 11:37:26.286 ; TestPlan      ; Information ; "Delay" completed. [1055 ms]
2016-10-13 11:37:26.286 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-13 11:37:27.346 ; TestPlan      ; Information ; "Delay (1)" completed. [1059 ms]
2016-10-13 11:37:27.346 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-13 11:37:27.347 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [1 ms]
2016-10-13 11:37:27.347 ; TestPlan      ; Information ; TestPlan Run finished. [2122 ms]
2016-10-13 11:37:27.348 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-13 11:37:27.348 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-13 11:37:27.348 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-14 16:39:57.517 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:39:57.527 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:39:57.587 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [59 ms]
2016-10-14 16:39:57.597 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-14 16:39:57.610 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/14/2016 4:39:57 PM, 3 of 3 TestSteps enabled.
2016-10-14 16:39:57.617 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.617 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.617 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.617 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.617 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.627 ; Settings      ; Debug       ; No settings file exists for GuiControlsSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.627 ; Settings      ; Debug       ; No settings file exists for GuiSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:39:57.687 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-14 16:39:57.687 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-14 16:39:57.687 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-14 16:39:57.697 ; TestPlan      ; Information ; "Delay" started.
2016-10-14 16:39:58.568 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-14 16:39:58.568 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-14 16:39:58.568 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-14 16:39:58.568 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
